id,prompt,deepseek/deepseek-v3.2,openai/gpt-4o-mini,qwen/qwen3-coder-30b-a3b-instruct
0,"Write a Python function that generates a set of candidates using a given generator function, with a fixed maximum size and optional variable size parameter. The function should create a set of candidates with a specified maximum size, and assert that the length of each candidate set is equal to the maximum size. The function should also write the candidates to a file for later use.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
703
","703
","703
"
1,"Write a Python program that uses a ZeroMQ PUSH socket to send a series of tasks to a set of worker processes, each task with a randomly generated workload, and calculate the total expected cost of completing all tasks.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
2,"Write a Python function that creates a ZeroMQ server, sets up a dictionary to store shared data, and starts a thread to run the server. The function should also set up a condition variable to synchronize access to the shared data, and register the server's address with an environment variable.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
3,"Write a function in a chosen programming language that takes a list of integers representing dimensions of an array and returns a new array with a subset of elements from the original array defined by a set of intervals represented as tuples of begin and end indices for each dimension. The intervals should be randomly generated and the function should use the standard library's array or list functions to create the new array. The input dimensions and intervals should be represented as lists of integers.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
330
","
","330
330
"
4,"Write a Python program that defines a class for parsing and creating JSON objects. The class should have a method for converting data to a JSON string and a method for creating a new instance of the class from a JSON string. The class should also have a registry of factory functions, keyed by ID, that can be used to create new instances of subclasses of the base class. The program should also include a function for adding a new factory function to the registry and a function for creating a new instance of a subclass using the factory function associated with a given ID.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
5,"Write a Python function that generates a set of random strings and stores them in a dictionary with keys that include a prefix and a number. The function should also create a JSON representation of the dictionary using the `json` module.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
6,"Write a Python function that reads a binary file and extracts a specified number of features from it, returning a tuple of two arrays: one with the input data and another with the corresponding classification labels. The function should use random sampling to select the features from a given range of positions in the file, and should use a one-hot encoding scheme to represent the classification labels. The function should also use the numpy library to perform bitwise operations and array manipulation.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
330
","330
330
","330
"
7,"Write a function in Python that takes a string representing a private key as input, and returns the formatted private key with the beginning and ending delimiters included, and with the key value padded to a fixed length of 816 characters, using the OneLogin_Saml2_Utils.format_private_key method.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
8,"Write a Python function that creates a bridge object and adds it to a list of bridges, with the ability to specify the port, IP address, and fingerprint of the bridge. The function should also have the ability to add a pluggable transport to the bridge. The function should return the created bridge object.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
9,"Write a Python program that publishes a message to a ROSBAG topic at a specified rate using the ROS (Robot Operating System) library.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
10,"Write a Python function that takes a string as input, parses it, and returns an object with the following attributes: type, intensity, size, generation, and choice. The function should raise a ValueError if the input string is invalid. The function should use the eval() function to convert the string values to integers.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
78
78
","78
78
78
","78
78
78
"
11,"Write a Python class that has a constructor and two class methods. The constructor takes an email address as an argument and assigns it to an instance variable. The first class method, 'admin', creates and returns a new instance of the class with hardcoded values for the username and password. The second class method, 'random_data', generates random values for the username and password and returns a new instance of the class with those values. The class should have appropriate docstrings.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","259
330
330
330
330
330
","330
330
","259
330
330
"
12,"Write a Python function that takes a pre-trained deep learning model and a list of layer names as input. The function should set the weights of the specified layers in the model using a provided dictionary of weights, and then save the modified model to a file in a specified format.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","502
","
","
"
